Suburb,Price per Bedroom,DevAreaPrice,Longtitude,Lattitude
ASHWOOD,387407.4519,9074.647578,145.1044462,-37.86637712
BRIGHTON,661729.6983,283396.894,144.9978697,-37.9101723
BRIGHTON EAST,483476.3158,105143.5114,145.0169231,-37.91750793
BURWOOD,377417.5093,-915.2950121,145.1116497,-37.85121064
CHADSTONE,311849.0566,-66483.74774,145.1007482,-37.88089941
HAMPTON,544658.4699,166325.6656,145.0099554,-37.93826312
HAMPTON EAST,370306.5693,-8026.235002,145.0312536,-37.939095
HUGHESDALE,389276.4228,10943.61842,145.0810702,-37.89924023
MOORABBIN,334587.7358,-43745.0685,145.0488991,-37.94019605
OAKLEIGH SOUTH,307867.6692,-70465.13514,145.0906718,-37.92459663
OAKLEIGH,353662.3037,-24670.50068,145.0968937,-37.90182424
BEAUMARIS,471011.2108,92678.40642,145.0392255,-37.98268817
BERWICK,221969.4656,-156363.3387,145.3435436,-38.04074944
CHELTENHAM,327697.4063,-50635.39801,145.0662415,-37.96496708
CRANBOURNE,176865.0811,-201467.7233,145.281922,-38.100664
DANDENONG,215000,-163332.8043,145.2149897,-37.98446576
DANDENONG NORTH,196220.6349,-182112.1694,145.2110342,-37.95563079
DINGLEY VILLAGE,262845.0704,-115487.7339,145.1285705,-37.98136
FRANKSTON,205044.1903,-173288.6141,145.144897,-38.14904878
FRANKSTON NORTH,160684.2105,-217648.5938,145.1544792,-38.12203583
FRANKSTON SOUTH,272693.7984,-105639.0059,145.1233435,-38.16764324
HALLAM,237907.4074,-140425.3969,145.2686856,-38.00181778
HIGHETT,389676.6055,11343.80116,145.0368681,-37.94958725
HUNTINGDALE,329441.3793,-48891.42504,145.1081144,-37.90653556
KEYSBOROUGH,239880.6818,-138452.1225,145.1641958,-37.99289192
MORDIALLOC,344933.6283,-33399.17603,145.09276,-38.00015167
MOUNT WAVERLEY,401089.2704,22756.46604,145.1283465,-37.87596534
NARRE WARREN,194895.3488,-183437.4555,145.3063385,-38.01972692
OAKLEIGH EAST,346241.9355,-32090.86886,145.1151422,-37.90329611
PARKDALE,373845.092,-4487.712321,145.0822392,-37.99267481
SANDRINGHAM,495605.8201,117273.0158,145.0151802,-37.95270585
SEAFORD,216593.4579,-161739.3464,145.1375487,-38.10530613
SKYE,157907,-220425.8043,145.197885,-38.102015
SPRINGVALE,270319.7674,-108013.0369,145.1555246,-37.94462929
BLACK ROCK,495694.0299,117361.2255,145.0190886,-37.97299409
BONBEACH,314585.7143,-63747.09006,145.125172,-38.06486
CARRUM,252522.7273,-125810.0771,145.129826,-38.075866
CHELSEA,323323.5294,-55009.27493,145.1191806,-38.04805944
CLAYTON,345851.1282,-32481.67614,145.1226236,-37.92012545
DOVETON,180281.25,-198051.5543,145.2357669,-37.9930825
GLEN WAVERLEY,374014.2236,-4318.580758,145.1645294,-37.88345657
MENTONE,333348.4848,-44984.3195,145.0703776,-37.98080726
MULGRAVE,305861.76,-72471.04435,145.1777302,-37.92784369
WHEELERS HILL,309415.2468,-68917.55754,145.1834292,-37.90724186
CARRUM DOWNS,173690.4762,-204642.3282,145.184935,-38.102148
CLAYTON SOUTH,285910.2564,-92422.54794,145.1231277,-37.93923962
LANGWARRIN,179602.5641,-198730.2402,145.1991573,-38.15210818
NOBLE PARK,234064.5161,-144268.2882,145.1802335,-37.97121548
NOTTING HILL,316775.8621,-61556.94228,145.1472678,-37.90575778
CHELSEA HEIGHTS,214170,-164162.8043,145.1360271,-38.04520786
SANDHURST,177272.7273,-201060.0771,145.2025333,-38.08227
ASPENDALE,319692.3077,-58640.49665,145.1018744,-38.02186188
EDITHVALE,289285.7143,-89047.09006,145.1168005,-38.03768045
HAMPTON PARK,169882.3529,-208450.4514,145.261594,-38.035654
CRANBOURNE NORTH,151250,-227082.8043,145.3075567,-38.07762667
ASPENDALE GARDENS,261646.2264,-116686.5779,145.1210793,-38.02160533
CLARINDA,253729.3103,-124603.494,145.1051473,-37.93734133
ENDEAVOUR HILLS,198493.9024,-179838.9019,145.2616991,-37.97724136
WATERWAYS,294266.6667,-84066.13768,145.1315375,-38.01273
SPRINGVALE SOUTH,244593.75,-133739.0543,145.151974,-37.974206
PATTERSON LAKES,228769.2308,-149563.5736,145.145925,-38.0743175
EUMEMMERRING,175750,-202582.8043,145.24571,-37.99841
HEATHERTON,272333.3333,-105999.471,145.0815,-37.95279333
LYNBROOK,210000,-168332.8043,145.25663,-38.0542
BOTANIC RIDGE,187500,-190832.8043,145.2512,-38.1452
CRANBOURNE WEST,187225,-191107.8043,145.25724,-38.10410667
CLYDE NORTH,191666.6667,-186666.1377,145.32485,-38.11245