Suburb,MeanPrice,DeivationMean
ASHWOOD,1216112.903,-166354.058
ASPENDALE,1051571.429,-1812.583359
ASPENDALE GARDENS,900525,149233.8452
BONBEACH,1130055.556,-80296.71034
BOTANIC RIDGE,750000,299758.8452
CARRUM,739545.4545,310213.3907
CARRUM DOWNS,549583.3333,500175.5119
CHADSTONE,972127.907,77630.93824
CHELSEA,914800,134958.8452
CHELSEA HEIGHTS,741500,308258.8452
CHELTENHAM,1074017.647,-24258.80185
CLARINDA,1015858.333,33900.51188
CLAYTON,1249225,-199466.1548
CLAYTON SOUTH,880260.8696,169497.9756
CRANBOURNE,661251.3333,388507.5119
CRANBOURNE NORTH,605000,444758.8452
CRANBOURNE WEST,825000,224758.8452
DANDENONG,680863.6364,368895.2088
DANDENONG NORTH,671140.7407,378618.1045
DINGLEY VILLAGE,918851.3514,130907.4939
DOVETON,539166.6667,510592.1785
EDITHVALE,951093.75,98665.09521
ENDEAVOUR HILLS,753433.3333,296325.5119
EUMEMMERRING,703000,346758.8452
FRANKSTON,668443.4746,381315.3706
FRANKSTON SOUTH,932166.6667,117592.1785
GLEN WAVERLEY,1442799.878,-393041.0326
HALLAM,758250,291508.8452
HAMPTON PARK,552000,497758.8452
HEATHERTON,817000,232758.8452
HIGHETT,1283734.694,-233975.8487
HUGHESDALE,1110100,-60341.15479
HUNTINGDALE,1056725,-6966.154788
KEYSBOROUGH,805545.4545,244213.3907
MENTONE,1111638.298,-61879.45266
MOORABBIN,1023199.367,26559.47812
MORDIALLOC,1110700,-60941.15479
MOUNT WAVERLEY,1405290.909,-355532.0639
MULGRAVE,1108115.608,-58356.76263
NARRE WARREN,635777.7778,413981.0674
NOBLE PARK,715590.9091,334167.9361
NOTTING HILL,1087200,-37441.15479
OAKLEIGH,1151098.214,-101339.3691
OAKLEIGH EAST,1208562.5,-158803.6548
OAKLEIGH SOUTH,998620.6714,51138.17378
PARKDALE,1283681.25,-233922.4048
PATTERSON LAKES,817000,232758.8452
SANDHURST,642500,407258.8452
SEAFORD,744340,305418.8452
SKYE,552674.5,497084.3452
SPRINGVALE,859525,190233.8452
SPRINGVALE SOUTH,782700,267058.8452
WATERWAYS,1248500,-198741.1548
WHEELERS HILL,1254831.553,-205072.708